epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.433335065841675,0.08892431026114557,2.473612532019615,0.08528818981721997
2,2.4225761890411377,0.08965010515281133,2.42894971370697,0.08941676351241767
3,2.4527041912078857,0.09570835191840515,2.4099625796079636,0.09913459932431579
4,2.3981926441192627,0.09742278095922972,2.4040312319993973,0.08817424345761538
5,2.3868777751922607,0.09792157828359675,2.400179162621498,0.09736016439273953
6,2.3834807872772217,0.10083919410642825,2.3941506296396255,0.10894801351241767
7,2.387990951538086,0.10988524673800719,2.379243776202202,0.1133820228278637
8,2.3123326301574707,0.14019539711394705,2.284537449479103,0.1552609708160162
9,2.2187187671661377,0.14900698518394528,2.2341585755348206,0.16618184838443995
10,2.3113300800323486,0.16045045079593373,2.2486838698387146,0.16313892044126987
11,2.1553633213043213,0.1554883633341108,2.1974367052316666,0.17916077934205532
12,2.291940927505493,0.16677551929439818,2.2049504965543747,0.17445665691047907
13,2.217495918273926,0.16524876149973475,2.189428076148033,0.16682284697890282
14,2.154279947280884,0.16857756147707315,2.1744911670684814,0.17831927351653576
15,2.153865098953247,0.17143593885396657,2.1753402799367905,0.17554645892232656
16,2.2215986251831055,0.16958610769501306,2.17232982814312,0.17681079544126987
17,2.189643144607544,0.1681758354705079,2.1775813698768616,0.17243808135390282
18,1.978139877319336,0.17352222589621866,2.170249357819557,0.17290454544126987
19,2.2293875217437744,0.1729532385006883,2.1706864833831787,0.18091339711099863
20,2.2894604206085205,0.17363871141035753,2.1695281714200974,0.18137986212968826
21,2.3148438930511475,0.1638384892192102,2.211059808731079,0.17230302467942238
22,2.1091301441192627,0.17078979223742521,2.185658186674118,0.17645341530442238
23,2.160111427307129,0.17117210393561458,2.1818228363990784,0.1733710104599595
24,2.186203956604004,0.17259133668770468,2.178819626569748,0.17445665691047907
25,2.170438051223755,0.1718376648605318,2.1710024625062943,0.17143970169126987
