train_loss,train_accuracy,epoch
2.075575351715088,0.26406900830108415,0
1.7905867099761963,0.36202770966884285,1
1.6246819496154785,0.4312427993264601,2
1.4555816650390625,0.48781424477858853,4
1.2849085330963135,0.5473693539334141,4
1.17959725856781,0.5884611976012526,5
1.056449055671692,0.629375793920416,6
0.9321885108947754,0.6720037812767717,8
0.8075153231620789,0.7187675401022127,8
0.6709352135658264,0.768574045079909,9
0.6108473539352417,0.7895483146731264,10
0.4754745662212372,0.8445836164367375,12
0.41560685634613037,0.8645239431626836,12
0.3753223419189453,0.8728250273256329,13
0.2596064805984497,0.9195592449262946,14
0.22509588301181793,0.9272695045936604,16
0.15864792466163635,0.954861008537414,16
0.11632333695888519,0.9698384095004579,17
0.08389140665531158,0.978257658562524,18
0.07304367423057556,0.980384626746625,20
0.03978513553738594,0.9918761631857257,20
0.048692040145397186,0.987474520693628,21
0.024881841614842415,0.9951552391362146,22
0.02710789442062378,0.9933827656494638,24
0.015478868037462234,0.9972231248707571,24
0.010244783014059067,0.9985820212105994,25
0.005569421220570803,0.9992319281557414,26
0.004369060974568129,0.9994091755044164,28
0.0022449330426752567,0.9998227526513249,28
0.001682750415056944,0.9999704587752208,29
