train_loss,train_accuracy,epoch
2.432433605194092,0.09119376089332663,0
2.4073100090026855,0.09535907358719092,1
2.394256591796875,0.14797199491890933,2
2.2522597312927246,0.18995007533012317,4
2.0413897037506104,0.2844819946234971,4
1.7547976970672607,0.3915689344480222,5
1.562467098236084,0.4661605270154501,6
1.3966968059539795,0.533189566039408,8
1.2547444105148315,0.5880771616791232,8
1.1045807600021362,0.6495229092198163,9
0.954286515712738,0.7019290419780804,10
0.8338421583175659,0.7480724350831586,12
0.7613298296928406,0.7697556940710761,12
0.6974099278450012,0.7905527163156184,13
0.6395044326782227,0.8139493663407285,14
0.5969192981719971,0.8280996130099554,16
0.5646319389343262,0.8371983102419426,16
0.5419669151306152,0.8454107707305545,17
0.5174910426139832,0.8514667218102863,18
0.4932922422885895,0.859324687601548,20
0.4853808581829071,0.8585270745325101,20
0.4643532931804657,0.8665032052228886,21
0.4485233724117279,0.8713775073114531,22
0.43727102875709534,0.8742134648902543,24
0.4276847243309021,0.8769312575699388,24
0.4186488687992096,0.880742075566453,25
0.4140948951244354,0.8817760184337242,26
0.40827447175979614,0.8836666568195918,28
0.40435564517974854,0.8849073882603172,28
0.403014600276947,0.8849369294850965,29
