train_loss,train_accuracy,epoch
2.428637981414795,0.09175504416413105,0
2.406325101852417,0.09113467844376828,1
2.3928585052490234,0.10324658060323182,2
2.2117061614990234,0.20829517591799357,4
1.9302300214767456,0.33715399840477384,4
1.691932201385498,0.42125786535109744,5
1.5247557163238525,0.486573513337863,6
1.3626160621643066,0.5393636820182565,8
1.2204464673995972,0.599243744645653,8
1.0782498121261597,0.6567605092907152,9
0.9469845294952393,0.7074532510117869,10
0.8463453054428101,0.745827301999941,12
0.7698257565498352,0.7694307405985052,12
0.7083548903465271,0.7856488730022747,13
0.6547868847846985,0.8096363475229683,14
0.6235848069190979,0.8192372455762016,16
0.5923309922218323,0.8274792472895927,16
0.565118670463562,0.8374641812649553,17
0.5418777465820312,0.8439041682668164,18
0.5225042104721069,0.8491625062775102,20
0.5071542859077454,0.853889102242179,20
0.4850611984729767,0.8617175268086615,21
0.4733041524887085,0.8631059643732829,22
0.46116966009140015,0.8663554990989927,24
0.4568667709827423,0.8675371480901598,24
0.44716519117355347,0.8712298011875572,25
0.43775537610054016,0.8732976869220997,26
0.4345969259738922,0.8755428200053175,28
0.4310801029205322,0.8763995155239136,28
0.4287604093551636,0.8767835514460429,29
